Name,Description,Quantity,Price,Link
"XIAO-RP2040",The MCU used here,1,$10.66,https://www.aliexpress.com/item/1005012026089142.html?spm=a2g0o.productlist.main.4.5f414ca6Ls21ci&aem_p4p_detail=20260608111402724331796825600003926007&algo_pvid=cac3fa94-b032-426f-8c84-83d78f8fe49c&algo_exp_id=cac3fa94-b032-426f-8c84-83d78f8fe49c-3&pdp_ext_f=%7B%22order%22%3A%22-1%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%2110.66%219.06%21%21%2172.00%2161.20%21%402103867617809424420878559eb102%2112000057316597245%21sea%21UK%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3Af52ab060%3Bm03_new_user%3A-29895&curPageLogUid=pRLiDwYYh85G&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005012026089142%7C_p_origin_prod%3A&search_p4p_id=20260608111402724331796825600003926007_1
"2x Cherry MX Switches",the actual keys,1,$5.44,https://www.aliexpress.com/item/1005007983672026.html?af=137191_1&cv=56177167&cn=46tfyfjqqc5sau1v0lb3ko8077bezlqe&dp=v5_46tfyfjqqc5sau1v0lb3ko8077bezlqe&af=137191_1&cv=56177167&cn=46tfyfjqqc5sau1v0lb3ko8077bezlqe&dp=v5_46tfyfjqqc5sau1v0lb3ko8077bezlqe&utm_source=epn&utm_medium=cpa&utm_campaign=137191_1&utm_content=56177167&product_id=1005007983672026&afref=&aff_fcid=0e55ce4eab89472ca0c21cad977570a3-1780319798985-00634-_9hwhcM&aff_fsk=_9hwhcM&aff_platform=portals-hotproduct&sk=_9hwhcM&aff_trace_key=0e55ce4eab89472ca0c21cad977570a3-1780319798985-00634-_9hwhcM&terminal_id=eebdf22b4a8f414dac9f9718d804a940
"2x DSA Caps",the caps for the keys,1,$3.67,https://www.aliexpress.com/item/1005002906017844.html?af=137191_1&cv=56160000&cn=46tfyfk7441np39rfmgo6n0bsbzrd0r2&dp=v5_46tfyfk7441np39rfmgo6n0bsbzrd0r2&utm_source=epn&utm_medium=cpa&utm_campaign=137191_1&utm_content=56160000&product_id=1005002906017844&afref=&aff_fcid=b31f03a538f041b69cf0d6416f064793-1780319816094-04568-_c42amvd5&tt=API&aff_fsk=_c42amvd5&aff_platform=api-new-link-generate&sk=_c42amvd5&aff_trace_key=b31f03a538f041b69cf0d6416f064793-1780319816094-04568-_c42amvd5&terminal_id=eebdf22b4a8f414dac9f9718d804a940&afSmartRedirect=y
"2x Heated Inserts",for attaching to the board,1,$3.98,https://www.aliexpress.com/item/1005003090968646.html?af=137191_1&cv=56160006&cn=46tfyfkluvzd4brdywtmqfqcv9m2xvp6&dp=v5_46tfyfkluvzd4brdywtmqfqcv9m2xvp6&utm_source=epn&utm_medium=cpa&utm_campaign=137191_1&utm_content=56160006&product_id=1005003090968646&afref=&aff_fcid=b762ff9d52ef4cfda2825728c266500b-1780319829307-00301-_c41YAjwJ&tt=API&aff_fsk=_c41YAjwJ&aff_platform=api-new-link-generate&sk=_c41YAjwJ&aff_trace_key=b762ff9d52ef4cfda2825728c266500b-1780319829307-00301-_c41YAjwJ&terminal_id=eebdf22b4a8f414dac9f9718d804a940&afSmartRedirect=y
"4x M3 12mm Bolts",for screwing on lid,1,$0.94,https://www.aliexpress.com/item/1005005879037174.html?af=137191_1&cv=56160021&cn=46tfyfl4lpvd162uar7iptdiy5kcguw5&dp=v5_46tfyfl4lpvd162uar7iptdiy5kcguw5&af=137191_1&cv=56160021&cn=46tfyfl4lpvd162uar7iptdiy5kcguw5&dp=v5_46tfyfl4lpvd162uar7iptdiy5kcguw5&utm_source=epn&utm_medium=cpa&utm_campaign=137191_1&utm_content=56160021&product_id=1005005879037174&afref=&aff_fcid=7c2a6e2872024fb4986ce13517254dc1-1780319848235-09127-_9hwhcM&aff_fsk=_9hwhcM&aff_platform=portals-hotproduct&sk=_9hwhcM&aff_trace_key=7c2a6e2872024fb4986ce13517254dc1-1780319848235-09127-_9hwhcM&terminal_id=eebdf22b4a8f414dac9f9718d804a940
"PCB",printed circuit board from jclpcb,1,$4,https://cart.jlcpcb.com/quote?stencilLayer=2&stencilWidth=100&stencilLength=100&stencilCounts=5&plateType=1&spm=Jlcpcb.Homepage.1010
"PCB shipping",to ship it to me!,1,$3.30,https://cart.jlcpcb.com/quote?stencilLayer=2&stencilWidth=100&stencilLength=100&stencilCounts=5&plateType=1&spm=Jlcpcb.Homepage.1010
"Case",for enclosure,1, N/A,""
"long USB C cable", for MCU if needed, 1,($3.79),https://alishort.com/0qIxF
total,total cost,-,$31.99 ($35.78 with the cable if needed), -
